--- When using SR data,please cite us and provide a link and/or a mention.,,,,,,,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Player,Pos,Age,G,GS,MP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,,ORtg,DRtg,Better
Darius Garland\garlada01,PG,21,54,50,1790,10,22.1,2.9,7.3,7.1,14.8,3.1,3.6,0.6,2.9,9.1,1.8,0.2,4.5,3,25.9,,105,117,1
Darius Miller\milleda01,SF,30,18,0,197,5.3,11.6,4.1,10.1,1.2,1.4,2.9,2.9,0.5,5.3,5.1,3.1,1.2,1.9,3.1,17.6,,130,111,0
David Nwaba\nwabada01,SF,28,30,9,679,7.4,15.2,1.2,4.4,6.2,10.8,3.3,4.7,2.8,5.4,2.2,2.1,1.5,1.2,4.2,19.2,,115,114,0
Dāvis Bertāns\bertada01,PF,28,57,7,1464,6.1,15.1,5.3,13.5,0.8,1.6,3.1,3.6,0.6,4.7,1.5,1,0.4,1,4.3,20.6,,120,116,0
De'Aaron Fox\foxde01,PG,23,58,58,2036,12.5,26.2,2.4,7.5,10,18.6,7.1,9.8,0.8,4,9.8,2.1,0.6,4.1,4,34.4,,113,118,1
De'Andre Hunter\huntede01,SF,23,23,19,678,8.7,18,2.2,6.9,6.5,11.1,5.3,6.2,1.2,6.7,3.2,1.4,0.9,2.1,4.3,25,,119,114,0
De'Anthony Melton\meltode01,PG,22,52,1,1045,7.9,18,4,9.7,3.9,8.3,1.9,2.3,1.4,6,6,2.7,1.4,3,3.9,21.6,,110,109,0
Dean Wade\wadede01,PF,24,63,19,1212,5.5,12.7,3.2,8.7,2.3,4,1.2,1.6,1.5,7.2,3,1.4,0.9,1.2,3.2,15.3,,116,115,0
Deandre Ayton\aytonde01,C,22,69,69,2115,10,16,0.1,0.5,9.9,15.6,3.1,4,5.3,11.6,2.3,1,1.9,2.4,4.6,23.3,,127,109,1
DeAndre Jordan\jordade01,C,32,57,43,1246,7.4,9.6,0,0,7.4,9.6,1.8,3.6,4.5,12,3.6,0.7,2.5,3.3,4.5,16.5,,127,111,0
DeAndre' Bembry\bembrde01,SF,26,51,12,972,5.8,11.4,0.7,2.6,5.1,8.7,2.2,3.3,1.6,5.6,5.3,2.6,0.9,3.5,4.3,14.6,,104,111,0
Deividas Sirvydis\sirvyde01,SG,20,20,0,133,5.2,14.8,3.7,10.3,1.5,4.4,1.1,2.2,0,10.7,1.8,0.7,0,1.8,3.3,15.1,,90,114,0
Dejounte Murray\murrade01,PG,24,67,67,2139,10,22.1,1.4,4.5,8.6,17.6,2.4,3,1.3,9.4,8.2,2.3,0.2,2.7,3.1,23.8,,106,111,0
Delon Wright\wrighde01,SG-PG,28,63,39,1748,6.7,14.4,1.8,4.8,4.9,9.6,2.8,3.5,1.8,5.7,7.7,2.8,0.8,2.3,2.1,17.9,,118,113,0
DeMar DeRozan\derozde01,PF,31,61,61,2056,10.7,21.7,0.4,1.7,10.3,20,9.1,10.4,0.9,5.2,10,1.3,0.4,2.8,3,31.1,,122,115,1
DeMarcus Cousins\couside01,C,30,41,11,713,8.7,20.5,3.2,9.1,5.6,11.4,4,5.4,3.6,14.1,5.1,2.3,1.6,4.3,7.2,24.6,,103,107,0
Deni Avdija\avdijde01,SF,20,54,32,1257,4.8,11.4,1.9,6.2,2.8,5.3,1.1,1.7,0.8,8.8,2.3,1.2,0.6,1.2,5.1,12.5,,103,113,0
Dennis Schröder\schrode01,SG,27,61,61,1956,8.3,18.9,1.8,5.3,6.5,13.6,5.1,6,0.7,4.5,8.7,1.7,0.3,4.1,4,23.4,,107,109,1
Dennis Smith Jr.\smithde03,PG,23,23,9,420,6.8,17,2.2,6.8,4.6,10.2,2.2,3,1.4,5,9,2.7,1.6,3,4.3,18,,105,110,0
Denzel Valentine\valende01,SG,27,62,3,1036,7.3,19.5,3.7,11.3,3.5,8.1,0.7,0.8,1.1,8.1,4.9,1.4,0.3,2,3.3,19,,100,112,0
